,MarketValuePrevious,MarketValueCurrent
4006,20000000.0,40000000.0
931,22000000.0,30000000.0
4991,1000000.0,1000000.0
2802,3500000.0,6000000.0
633,25000000.0,28000000.0
3425,500000.0,400000.0
498,17000000.0,25000000.0
1477,35000000.0,35000000.0
415,35000000.0,35000000.0
1890,6000000.0,5000000.0
4811,200000.0,200000.0
4944,800000.0,1000000.0
2121,500000.0,500000.0
757,18000000.0,15000000.0
4776,3000000.0,3000000.0
1041,2200000.0,2200000.0
1672,5000000.0,3000000.0
2484,2200000.0,2000000.0
3424,500000.0,400000.0
4301,2000000.0,2500000.0
596,35000000.0,30000000.0
2788,1200000.0,900000.0
3938,2800000.0,2500000.0
3286,3000000.0,2000000.0
652,16000000.0,14000000.0
3162,1300000.0,1200000.0
1350,12000000.0,7000000.0
4044,16000000.0,18000000.0
1514,4000000.0,4000000.0
3153,150000.0,100000.0
5053,600000.0,500000.0
75,20000000.0,17000000.0
3682,10000000.0,10000000.0
4486,2000000.0,1800000.0
4895,5000000.0,4000000.0
3279,1200000.0,800000.0
2440,800000.0,500000.0
4020,12000000.0,10000000.0
4725,800000.0,1000000.0
2091,1000000.0,700000.0
1425,8000000.0,12000000.0
1010,3500000.0,2500000.0
1029,4000000.0,6000000.0
2991,500000.0,500000.0
828,1500000.0,1000000.0
3767,3000000.0,3000000.0
96,100000000.0,100000000.0
5315,2000000.0,2000000.0
5211,6000000.0,10000000.0
4240,400000.0,400000.0
621,100000000.0,85000000.0
566,25000000.0,25000000.0
543,30000000.0,25000000.0
3855,10000000.0,12000000.0
51,25000000.0,25000000.0
3383,25000.0,100000.0
1744,25000000.0,28000000.0
745,16000000.0,14000000.0
3803,2200000.0,2200000.0
2456,75000.0,50000.0
3608,1000000.0,1000000.0
195,20000000.0,25000000.0
1616,40000000.0,50000000.0
3309,1000000.0,1000000.0
3184,400000.0,400000.0
802,5000000.0,5000000.0
3588,4000000.0,4500000.0
4179,1200000.0,2000000.0
1224,1200000.0,1800000.0
3540,4500000.0,4500000.0
5030,3500000.0,3000000.0
3487,3000000.0,6000000.0
4497,1200000.0,2000000.0
1334,40000000.0,40000000.0
644,800000.0,800000.0
1488,22000000.0,24000000.0
4101,2500000.0,2500000.0
1501,3500000.0,4000000.0
120,800000.0,800000.0
2450,3000000.0,3200000.0
2699,125000.0,100000.0
4410,200000.0,150000.0
4399,600000.0,500000.0
2577,300000.0,250000.0
2317,500000.0,400000.0
4522,100000.0,100000.0
3750,3000000.0,3000000.0
3169,75000.0,300000.0
134,6000000.0,10000000.0
5430,650000.0,650000.0
2388,1500000.0,1500000.0
2509,225000.0,200000.0
511,1000000.0,1000000.0
62,8000000.0,5000000.0
4501,3500000.0,3500000.0
4258,12000000.0,15000000.0
1509,4000000.0,6000000.0
4055,1500000.0,3000000.0
122,1000000.0,1000000.0
4616,4000000.0,4000000.0
3437,500000.0,650000.0
2927,200000.0,150000.0
5297,8000000.0,7000000.0
567,10000000.0,8000000.0
4387,600000.0,550000.0
3805,200000.0,150000.0
864,25000000.0,30000000.0
4144,3000000.0,2000000.0
3758,3000000.0,2800000.0
4864,75000.0,75000.0
3761,2500000.0,2500000.0
1738,18000000.0,15000000.0
720,9000000.0,8000000.0
3565,1200000.0,1200000.0
4421,500000.0,400000.0
1983,5000000.0,5000000.0
602,40000000.0,50000000.0
3765,2500000.0,2500000.0
2807,700000.0,550000.0
4515,750000.0,750000.0
1321,4000000.0,3500000.0
5340,3500000.0,2500000.0
4110,2500000.0,3500000.0
318,3000000.0,2000000.0
5428,1700000.0,1700000.0
274,6000000.0,5000000.0
4710,3000000.0,4000000.0
4087,1000000.0,1000000.0
2399,1500000.0,1500000.0
2937,1200000.0,800000.0
1421,6000000.0,5000000.0
1729,4000000.0,3000000.0
4305,300000.0,300000.0
5270,6000000.0,5000000.0
295,1800000.0,1500000.0
1302,1200000.0,7500000.0
1626,4000000.0,3000000.0
298,15000000.0,15000000.0
68,9000000.0,10000000.0
736,20000000.0,20000000.0
2464,400000.0,275000.0
1485,22000000.0,20000000.0
2231,1500000.0,4000000.0
150,1500000.0,1200000.0
756,24000000.0,25000000.0
3113,350000.0,350000.0
2948,200000.0,150000.0
1505,75000.0,400000.0
5028,100000.0,500000.0
2422,100000.0,300000.0
376,50000000.0,50000000.0
2233,3800000.0,3800000.0
859,28000000.0,32000000.0
4590,1500000.0,1200000.0
2416,1000000.0,800000.0
378,60000000.0,55000000.0
3732,1800000.0,2000000.0
2952,750000.0,600000.0
4286,300000.0,250000.0
3604,3500000.0,3200000.0
2022,2200000.0,2200000.0
2984,50000.0,50000.0
841,18000000.0,16000000.0
3649,1500000.0,1500000.0
1918,3500000.0,3000000.0
175,15000000.0,14000000.0
1433,3400000.0,4000000.0
927,1000000.0,3000000.0
2741,200000.0,200000.0
45,180000000.0,200000000.0
1260,60000000.0,50000000.0
1096,7000000.0,6000000.0
2463,25000.0,0.0
4443,1300000.0,1500000.0
4653,400000.0,400000.0
